iter	Passed	Remaining
0	44	44409
1	100	50091
2	152	50569
3	204	50861
4	250	49923
5	267	44275
6	316	44946
7	367	45576
8	417	46011
9	466	46232
10	514	46277
11	564	46443
12	615	46763
13	667	47009
14	721	47361
15	772	47522
16	824	47672
17	871	47547
18	922	47606
19	971	47620
20	1024	47779
21	1038	46177
22	1089	46277
23	1120	45552
24	1167	45518
25	1196	44825
26	1244	44849
27	1294	44935
28	1343	44996
29	1394	45096
30	1443	45128
31	1493	45175
32	1541	45158
33	1586	45077
34	1631	44984
35	1677	44908
36	1727	44952
37	1778	45019
38	1823	44936
39	1868	44846
40	1913	44762
41	1962	44759
42	2009	44718
43	2054	44631
44	2069	43915
45	2135	44280
46	2205	44727
47	2260	44825
48	2309	44816
49	2359	44831
50	2406	44779
51	2452	44716
52	2498	44642
53	2546	44616
54	2593	44564
55	2640	44518
56	2690	44503
57	2738	44480
58	2784	44410
59	2829	44327
60	2873	44231
61	2918	44155
62	2967	44139
63	3015	44104
64	3064	44076
65	3111	44027
66	3139	43712
67	3184	43644
68	3230	43594
69	3276	43527
70	3321	43454
71	3348	43160
72	3393	43095
73	3438	43022
74	3483	42968
75	3525	42857
76	3544	42483
77	3589	42424
78	3632	42350
79	3674	42258
80	3722	42229
81	3768	42183
82	3813	42130
83	3857	42070
84	3902	42012
85	3949	41973
86	3981	41782
87	4027	41735
88	4074	41704
89	4121	41675
90	4166	41620
91	4211	41568
92	4259	41538
93	4306	41503
94	4347	41411
95	4389	41334
96	4435	41291
97	4478	41223
98	4524	41176
99	4572	41151
100	4618	41113
101	4665	41074
102	4716	41074
103	4763	41043
104	4809	40993
105	4854	40941
106	4899	40887
107	4946	40854
108	4976	40677
109	5020	40620
110	5063	40553
111	5109	40507
112	5154	40458
113	5201	40424
114	5248	40387
115	5294	40348
116	5339	40299
117	5388	40275
118	5433	40224
119	5478	40173
120	5520	40100
121	5565	40051
122	5610	40005
123	5655	39951
124	5702	39917
125	5750	39885
126	5795	39841
127	5841	39793
128	5885	39741
129	5930	39689
130	5978	39655
131	6023	39609
132	6069	39564
133	6115	39525
134	6161	39479
135	6206	39432
136	6254	39396
137	6300	39352
138	6344	39300
139	6390	39255
140	6435	39206
141	6481	39164
142	6528	39124
143	6575	39089
144	6622	39052
145	6669	39010
146	6717	38978
147	6764	38942
148	6811	38900
149	6858	38863
150	6905	38825
151	6955	38804
152	7005	38781
153	7048	38721
154	7095	38680
155	7137	38617
156	7185	38581
157	7232	38543
158	7251	38357
159	7299	38320
160	7346	38284
161	7390	38229
162	7436	38187
163	7483	38147
164	7528	38100
165	7548	37922
166	7594	37879
167	7640	37839
168	7687	37800
169	7736	37771
170	7780	37719
171	7826	37676
172	7872	37632
173	7918	37590
174	7965	37551
175	8012	37515
176	8063	37492
177	8113	37465
178	8158	37419
179	8204	37374
180	8251	37336
181	8280	37215
182	8326	37171
183	8371	37126
184	8417	37083
185	8462	37033
186	8508	36992
187	8555	36950
188	8602	36911
189	8649	36873
190	8697	36839
191	8717	36685
192	8764	36646
193	8812	36610
194	8858	36570
195	8905	36532
196	8960	36525
197	8988	36409
198	9034	36365
199	9082	36330
200	9130	36295
201	9178	36258
202	9224	36218
203	9270	36174
204	9318	36136
205	9364	36094
206	9410	36050
207	9455	36003
208	9502	35964
209	9549	35923
210	9594	35878
211	9642	35841
212	9691	35809
213	9738	35768
214	9786	35731
215	9833	35693
216	9882	35658
217	9933	35631
218	9982	35600
219	10030	35562
220	10080	35534
221	10128	35494
222	10175	35454
223	10222	35414
224	10269	35372
225	10313	35322
226	10359	35277
227	10401	35220
228	10448	35176
229	10494	35132
230	10541	35091
231	10589	35053
232	10633	35002
233	10679	34960
234	10727	34921
235	10772	34873
236	10817	34825
237	10862	34778
238	10907	34730
239	10952	34684
240	10996	34633
241	11042	34587
242	11090	34548
243	11135	34501
244	11185	34469
245	11235	34437
246	11283	34398
247	11332	34363
248	11374	34305
249	11419	34257
250	11463	34207
251	11508	34158
252	11557	34123
253	11606	34088
254	11652	34044
255	11709	34032
256	11755	33985
257	11801	33940
258	11846	33892
259	11891	33845
260	11939	33806
261	11988	33769
262	12035	33727
263	12063	33630
264	12112	33593
265	12157	33547
266	12205	33508
267	12254	33470
268	12297	33417
269	12343	33373
270	12390	33331
271	12437	33288
272	12483	33242
273	12528	33195
274	12573	33147
275	12617	33098
276	12662	33051
277	12707	33002
278	12727	32889
279	12771	32841
280	12817	32796
281	12862	32749
282	12909	32706
283	12955	32663
284	13001	32618
285	13048	32576
286	13095	32534
287	13140	32486
288	13184	32436
289	13230	32392
290	13276	32346
291	13318	32292
292	13364	32247
293	13409	32200
294	13454	32154
295	13500	32108
296	13545	32061
297	13592	32018
298	13638	31974
299	13684	31931
300	13714	31848
301	13760	31803
302	13805	31756
303	13850	31709
304	13894	31662
305	13943	31623
306	13962	31517
307	14007	31470
308	14055	31431
309	14104	31394
310	14150	31350
311	14196	31304
312	14242	31260
313	14287	31213
314	14335	31173
315	14380	31127
316	14425	31080
317	14470	31034
318	14515	30986
319	14559	30938
320	14605	30895
321	14652	30852
322	14701	30814
323	14750	30775
324	14795	30729
325	14841	30684
326	14887	30640
327	14935	30600
328	14980	30553
329	15027	30510
330	15075	30469
331	15121	30424
332	15168	30382
333	15216	30341
334	15265	30303
335	15312	30261
336	15367	30232
337	15413	30188
338	15459	30143
339	15504	30097
340	15550	30051
341	15598	30010
342	15646	29970
343	15695	29931
344	15742	29887
345	15788	29843
346	15837	29804
347	15883	29758
348	15933	29721
349	15979	29676
350	16026	29632
351	16073	29590
352	16123	29551
353	16169	29507
354	16215	29461
355	16268	29429
356	16310	29376
357	16328	29282
358	16375	29237
359	16419	29190
360	16467	29149
361	16513	29103
362	16540	29025
363	16585	28978
364	16631	28935
365	16678	28890
366	16723	28845
367	16769	28799
368	16815	28754
369	16861	28710
370	16908	28667
371	16952	28618
372	16998	28574
373	17044	28529
374	17094	28490
375	17140	28446
376	17186	28401
377	17202	28306
378	17252	28267
379	17297	28222
380	17345	28180
381	17390	28134
382	17438	28092
383	17486	28051
384	17532	28006
385	17580	27964
386	17626	27919
387	17669	27870
388	17718	27829
389	17763	27783
390	17808	27736
391	17853	27690
392	17899	27646
393	17949	27608
394	17998	27566
395	18044	27522
396	18093	27481
397	18139	27436
398	18186	27393
399	18232	27349
400	18279	27305
401	18326	27261
402	18375	27221
403	18423	27179
404	18471	27137
405	18518	27093
406	18565	27050
407	18612	27005
408	18659	26963
409	18709	26923
410	18757	26880
411	18804	26837
412	18853	26796
413	18873	26714
414	18923	26675
415	18971	26632
416	19021	26593
417	19071	26554
418	19119	26512
419	19166	26468
420	19212	26422
421	19257	26376
422	19302	26330
423	19347	26283
424	19392	26237
425	19437	26190
426	19482	26144
427	19527	26097
428	19572	26050
429	19613	25999
430	19659	25954
431	19705	25909
432	19750	25863
433	19795	25816
434	19840	25769
435	19886	25724
436	19933	25681
437	19980	25636
438	20027	25592
439	20075	25550
440	20120	25504
441	20169	25463
442	20198	25395
443	20244	25351
444	20289	25305
445	20335	25259
446	20380	25213
447	20425	25167
448	20470	25121
449	20515	25074
450	20562	25030
451	20609	24986
452	20657	24943
453	20705	24901
454	20751	24855
455	20797	24811
456	20846	24769
457	20894	24726
458	20947	24689
459	20995	24646
460	21041	24602
461	21093	24562
462	21140	24518
463	21188	24476
464	21236	24433
465	21283	24388
466	21330	24344
467	21376	24299
468	21423	24255
469	21469	24210
470	21515	24164
471	21562	24121
472	21608	24075
473	21650	24026
474	21702	23986
475	21749	23942
476	21797	23899
477	21850	23861
478	21898	23818
479	21947	23775
480	21994	23731
481	22044	23690
482	22095	23650
483	22141	23605
484	22190	23562
485	22237	23518
486	22283	23473
487	22328	23426
488	22378	23384
489	22427	23342
490	22474	23297
491	22520	23252
492	22572	23213
493	22618	23167
494	22666	23124
495	22714	23081
496	22763	23037
497	22806	22989
498	22854	22946
499	22902	22902
500	22951	22859
501	22999	22815
502	23047	22772
503	23094	22727
504	23137	22678
505	23185	22635
506	23232	22590
507	23277	22544
508	23322	22497
509	23366	22450
510	23411	22403
511	23460	22360
512	23507	22315
513	23553	22270
514	23602	22227
515	23652	22185
516	23700	22141
517	23746	22095
518	23787	22045
519	23834	22000
520	23881	21956
521	23928	21911
522	23973	21864
523	24021	21821
524	24069	21777
525	24116	21732
526	24161	21685
527	24206	21639
528	24252	21593
529	24297	21547
530	24342	21500
531	24387	21453
532	24431	21406
533	24476	21359
534	24517	21309
535	24561	21262
536	24608	21217
537	24657	21173
538	24706	21131
539	24756	21088
540	24803	21043
541	24848	20997
542	24890	20948
543	24933	20900
544	24980	20854
545	25027	20810
546	25079	20769
547	25125	20724
548	25172	20678
549	25216	20631
550	25261	20585
551	25306	20538
